time|position
2023-04-21 13:01:43.646947|-20
2023-04-21 13:01:43.664004|-20
2023-04-21 13:01:43.690974|-20
2023-04-21 13:01:43.722811|-20
2023-04-21 13:01:43.737076|-20
2023-04-21 13:01:43.751602|-20
2023-04-21 13:01:43.767895|-20
2023-04-21 13:01:43.789060|-20
2023-04-21 13:01:43.818079|-20
2023-04-21 13:01:43.862543|-20
2023-04-21 13:01:43.933092|-20
2023-04-21 13:01:43.953663|-20
2023-04-21 13:01:43.963051|-20
2023-04-21 13:01:43.977053|-20
2023-04-21 13:01:43.984661|-20
2023-04-21 13:01:43.995536|-20
2023-04-21 13:01:44.009432|-20
2023-04-21 13:01:44.023091|-20
2023-04-21 13:01:44.034940|-20
2023-04-21 13:01:44.049835|-20
2023-04-21 13:01:44.064656|-20
2023-04-21 13:01:44.073190|-20
2023-04-21 13:01:44.087311|-20
2023-04-21 13:01:44.102253|-20
2023-04-21 13:01:44.120199|-20
2023-04-21 13:01:44.122807|-20
2023-04-21 13:01:44.133218|-20
2023-04-21 13:01:44.154090|-20
2023-04-21 13:01:44.162655|-20
2023-04-21 13:01:44.177701|-20
2023-04-21 13:01:44.182119|-20
2023-04-21 13:01:44.201228|-20
2023-04-21 13:01:44.207042|-20
2023-04-21 13:01:44.213290|-20
2023-04-21 13:01:44.253545|-20
2023-04-21 13:01:44.274912|-20
2023-04-21 13:01:44.287057|-20
2023-04-21 13:01:44.296043|-20
2023-04-21 13:01:44.303312|-20
2023-04-21 13:01:44.321733|-20
2023-04-21 13:01:44.336034|-20
2023-04-21 13:01:44.347562|-20
2023-04-21 13:01:44.361626|-20
2023-04-21 13:01:44.390823|-20
2023-04-21 13:01:44.401063|-20
2023-04-21 13:01:44.413157|-20
2023-04-21 13:01:44.428864|-20
2023-04-21 13:01:44.446705|-20
2023-04-21 13:01:44.453788|-20
2023-04-21 13:01:44.466326|-20
2023-04-21 13:01:44.482463|-20
2023-04-21 13:01:44.495678|-20
2023-04-21 13:01:44.514859|-20
2023-04-21 13:01:44.527620|-20
2023-04-21 13:01:44.534827|-20
2023-04-21 13:01:44.542482|-20
2023-04-21 13:01:44.554055|-20
2023-04-21 13:01:44.567057|-20
2023-04-21 13:01:44.573128|-20
2023-04-21 13:01:44.586207|-20
2023-04-21 13:01:44.592797|-20
2023-04-21 13:01:44.607511|-20
2023-04-21 13:01:44.620902|-20
2023-04-21 13:01:44.635300|-20
2023-04-21 13:01:44.652705|-20
2023-04-21 13:01:44.664984|-20
2023-04-21 13:01:44.679173|-20
2023-04-21 13:01:44.689947|-20
2023-04-21 13:01:44.697041|-20
2023-04-21 13:01:44.711257|-20
2023-04-21 13:01:44.729329|-20
2023-04-21 13:01:44.737286|-20
2023-04-21 13:01:44.749711|-20
2023-04-21 13:01:44.760968|-20
2023-04-21 13:01:44.777523|-20
2023-04-21 13:01:44.790433|-20
2023-04-21 13:01:44.804679|-20
2023-04-21 13:01:44.814891|-20
2023-04-21 13:01:44.827248|-20
2023-04-21 13:01:44.832784|-20
2023-04-21 13:01:44.846624|-20
2023-04-21 13:01:44.859010|-20
2023-04-21 13:01:44.867108|-20
2023-04-21 13:01:44.874783|-20
2023-04-21 13:01:44.891491|-20
2023-04-21 13:01:44.903485|-20
2023-04-21 13:01:44.921871|-20
2023-04-21 13:01:44.935526|-20
2023-04-21 13:01:44.950655|-20
2023-04-21 13:01:44.958965|-20
2023-04-21 13:01:44.966977|-20
2023-04-21 13:01:44.975286|-20
2023-04-21 13:01:44.983013|-20
2023-04-21 13:01:44.994470|-20
2023-04-21 13:01:45.009049|-20
2023-04-21 13:01:45.013327|-20
2023-04-21 13:01:45.026498|-20
2023-04-21 13:01:45.038586|-20
2023-04-21 13:01:45.044623|-20
2023-04-21 13:01:45.052353|-20
2023-04-21 13:01:45.064521|-20
2023-04-21 13:01:45.083132|-20
2023-04-21 13:01:45.107961|-20
2023-04-21 13:01:45.116050|-20
2023-04-21 13:01:45.123841|-20
2023-04-21 13:01:45.139813|-20
2023-04-21 13:01:45.152159|-20
2023-04-21 13:01:45.162436|-20
2023-04-21 13:01:45.172125|-20
2023-04-21 13:01:45.192562|-20
2023-04-21 13:01:45.205351|-20
2023-04-21 13:01:45.212730|-20
2023-04-21 13:01:45.232041|-20
2023-04-21 13:01:45.249170|-20
2023-04-21 13:01:45.258501|-20
2023-04-21 13:01:45.267571|-20
2023-04-21 13:01:45.278429|-20
2023-04-21 13:01:45.291175|-20
2023-04-21 13:01:45.314474|-20
2023-04-21 13:01:45.330794|-20
2023-04-21 13:01:45.331965|-20
2023-04-21 13:01:45.346114|-20
2023-04-21 13:01:45.360332|-20
2023-04-21 13:01:45.367073|-20
2023-04-21 13:01:45.398743|-20
2023-04-21 13:01:45.403000|-20
2023-04-21 13:01:45.416428|-20
2023-04-21 13:01:45.427335|-20
2023-04-21 13:01:45.437160|-20
2023-04-21 13:01:45.456332|-20
2023-04-21 13:01:45.466980|-20
